6720,1945
6720,1946
6720,1947
6720,1948
6720,1949
6720,1950
6720,1951
6720,1952
6720,1953
6720,1954
6720,1955
6720,1956
6720,1957
6720,1958
6720,1959
6720,1960
6720,1961
6720,1962
6720,1963
6720,1964
6720,1965
6720,1966
6720,1967
6720,1968
6720,1969
6720,1970
6720,1971
6720,1972
6720,1973
6720,1974
6720,1975
6720,1976
6720,1977
6720,1978
6720,1979
6720,1980
6720,1981
6720,1982
6720,1983
6720,1984
6720,1985
6720,1986
6720,1987
6720,1988
6720,1989
6720,1990
6720,1991
6720,1992
6720,1993
6720,1994
6720,1995
6720,1996
6720,1997
6720,1998
6720,1999
6720,2000
6720,2001
6720,2002
6720,2003
6720,2004
6720,2005
6720,2006
6720,2007
6720,2008
6720,2009
6720,2010
