date,max_temp,min_temp
2010-01-01,-25.4,-34.5
2010-01-02,-28.1,-38.0
2010-01-03,-28.6,-36.2
2010-01-04,-32.5,-35.2
2010-01-05,-31.5,-35.2
2010-01-06,-20.7,-32.6
2010-01-07,-18.8,-24.9
2010-01-08,-15.9,-25.5
2010-01-09,-16.4,-25.8
2010-01-10,-25.1,-27.9
2010-01-11,-22.1,-26.8
2010-01-12,-22.6,-31.1
2010-01-13,-22.4,-32.9
2010-01-14,-24.6,-35.4
2010-01-15,-17.2,-25.0
2010-01-16,-16.7,-28.1
2010-01-17,-12.1,-25.2
2010-01-18,-11.0,-19.6
2010-01-19,-13.4,-19.4
2010-01-20,-13.0,-17.5
2010-01-21,-9.2,-15.0
2010-01-22,-10.5,-12.9
2010-01-23,-10.3,-17.4
2010-01-24,-17.4,-26.2
2010-01-25,-23.8,-30.9
2010-01-26,-20.3,-27.7
2010-01-27,-22.1,-29.6
2010-01-28,-23.2,-30.1
2010-01-29,-24.2,-29.6
2010-01-30,-29.0,-33.4
2010-01-31,-23.7,-35.7
2010-02-01,-21.8,-28.1
2010-02-02,-22.5,-26.5
2010-02-03,-24.4,-34.6
2010-02-04,-24.5,-35.0
2010-02-05,-12.6,-24.6
2010-02-06,-9.8,-15.5
2010-02-07,-7.7,-10.0
2010-02-08,-6.5,-12.3
2010-02-09,-7.5,-14.1
2010-02-10,-9.1,-10.2
2010-02-11,-9.2,-13.2
2010-02-12,-13.0,-19.5
2010-02-13,-9.1,-13.1
2010-02-14,-5.5,-13.8
2010-02-15,-7.4,-14.5
2010-02-16,-10.0,-17.8
2010-02-17,-8.7,-16.6
2010-02-18,-9.4,-15.0
2010-02-19,-9.5,-15.9
2010-02-20,-8.9,-13.7
2010-02-21,-10.1,-26.9
2010-02-22,-17.9,-34.9
2010-02-23,-17.0,-33.0
2010-02-24,-16.9,-27.0
2010-02-25,-19.9,-26.0
2010-02-26,-16.5,-23.1
2010-02-27,-6.8,-16.6
2010-02-28,-3.0,-14.3
2010-03-01,-1.2,-16.6
2010-03-02,2.8,-6.7
2010-03-03,4.3,-4.2
2010-03-04,3.7,-9.4
2010-03-05,-0.8,-10.6
2010-03-06,-1.1,-9.2
2010-03-07,3.4,-7.2
2010-03-08,0.1,-10.5
2010-03-09,-2.1,-16.1
2010-03-10,-1.4,-8.9
2010-03-11,0.4,-15.2
2010-03-12,0.2,-6.8
2010-03-13,1.4,-12.8
2010-03-14,2.6,-11.1
2010-03-15,5.2,-3.7
2010-03-16,0.8,-16.5
2010-03-17,-10.8,-20.7
2010-03-18,-13.7,-25.2
2010-03-19,-6.3,-18.8
2010-03-20,-15.6,-24.0
2010-03-21,-16.2,-28.3
2010-03-22,-16.6,-28.8
2010-03-23,-21.1,-29.3
2010-03-24,-19.3,-32.6
2010-03-25,-13.9,-23.7
2010-03-26,-14.3,-27.2
2010-03-27,-5.1,-23.9
2010-03-28,3.2,-16.1
2010-03-29,3.4,-5.7
2010-03-30,2.3,-8.1
2010-03-31,-2.5,-8.7
2010-04-01,-3.1,-5.0
2010-04-02,-4.7,-12.4
2010-04-03,-2.9,-17.5
2010-04-04,7.7,-12.1
2010-04-05,6.4,-2.5
2010-04-06,4.0,-5.4
2010-04-07,5.5,0.5
2010-04-08,7.8,-1.8
2010-04-09,0.1,-9.0
2010-04-10,-7.5,-12.8
2010-04-11,-2.4,-12.6
2010-04-12,1.6,-12.4
2010-04-13,4.8,-4.3
2010-04-14,9.3,-0.8
2010-04-15,8.0,-4.2
2010-04-16,13.3,0.1
2010-04-17,3.1,-3.6
2010-04-18,8.0,-2.7
2010-04-19,13.6,3.5
2010-04-20,20.4,3.6
2010-04-21,20.1,6.8
2010-04-22,14.4,1.6
2010-04-23,3.0,-4.3
2010-04-24,2.2,-5.4
2010-04-25,3.8,-3.4
2010-04-26,5.4,-5.5
2010-04-27,9.6,-1.8
2010-04-28,8.4,-1.5
2010-04-29,10.8,-3.7
2010-04-30,9.3,-1.4
2010-05-01,11.8,2.5
