date,max_temp,min_temp
2010-01-01,1.5,-5.0
2010-01-02,3.2,1.3
2010-01-03,3.0,1.4
2010-01-04,3.7,1.3
2010-01-05,3.0,1.1
2010-01-06,4.7,-2.2
2010-01-07,2.4,-1.7
2010-01-08,2.4,-2.0
2010-01-09,-0.6,-2.8
2010-01-10,-0.7,-7.5
2010-01-11,-2.9,-8.3
2010-01-12,-0.6,-4.1
2010-01-13,0.0,-3.0
2010-01-14,-0.2,-5.8
2010-01-15,1.4,-5.4
2010-01-16,1.8,-6.1
2010-01-17,-6.1,-13.0
2010-01-18,-5.8,-11.9
2010-01-19,-3.0,-6.1
2010-01-20,-3.0,-8.3
2010-01-21,-1.8,-7.6
2010-01-22,-4.3,-8.9
2010-01-23,-7.6,-13.9
2010-01-24,-7.3,-10.6
2010-01-25,-5.4,-13.9
2010-01-26,-0.3,-10.4
2010-01-27,4.0,-0.4
2010-01-28,4.6,0.9
2010-01-29,3.1,-3.1
2010-01-30,-0.9,-5.4
2010-01-31,-3.7,-8.3
2010-02-01,-4.9,-10.3
2010-02-02,-9.4,-14.1
2010-02-03,-8.4,-13.0
2010-02-04,-7.5,-13.6
2010-02-05,-0.2,-8.6
2010-02-06,0.1,-1.4
2010-02-07,0.5,-1.8
2010-02-08,1.3,-1.5
2010-02-09,0.7,-0.8
2010-02-10,2.2,-1.5
2010-02-11,0.4,-5.6
2010-02-12,1.4,-0.2
2010-02-13,1.5,-0.8
2010-02-14,-0.1,-1.4
2010-02-15,-0.1,-2.3
2010-02-16,0.2,-2.7
2010-02-17,0.0,-2.0
2010-02-18,1.0,-1.2
2010-02-19,1.7,-1.0
2010-02-20,0.2,-2.8
2010-02-21,1.3,-2.3
2010-02-22,2.3,-0.5
2010-02-23,1.3,-2.5
2010-02-24,-0.1,-2.8
2010-02-25,-1.4,-4.7
2010-02-26,-0.3,-5.3
2010-02-27,-2.4,-6.3
2010-02-28,-0.4,-2.7
2010-03-01,1.9,-1.2
2010-03-02,3.3,0.6
2010-03-03,3.3,-0.7
2010-03-04,0.1,-1.0
2010-03-05,0.7,0.0
2010-03-06,1.4,-0.2
2010-03-07,-0.1,-5.2
2010-03-08,2.9,-5.4
2010-03-09,1.7,-3.4
2010-03-10,1.3,-4.1
2010-03-11,-1.1,-4.4
2010-03-12,-2.0,-4.6
2010-03-13,-0.5,-7.2
2010-03-14,4.7,-6.1
2010-03-15,0.9,-2.6
2010-03-16,5.6,-4.7
2010-03-17,5.8,-1.9
2010-03-18,6.7,-1.3
