Year,Month,Day,max_t,min_t
2013,8,6,22.5,13.9
2013,8,7,16.5,12.1
2013,8,8,,
2013,8,9,23.7,14.9
2013,8,10,,
2013,8,11,23.0,13.9
2013,8,12,23.7,13.9
2013,8,13,25.3,13.3
2013,8,14,20.0,14.6
2013,8,15,22.9,14.4
2013,8,16,17.0,11.4
2013,8,17,23.5,11.0
2013,8,18,21.4,14.4
2013,8,19,23.8,11.7
2013,8,20,12.2,3.8
2013,8,21,18.9,3.8
2013,8,22,24.4,16.1
2013,8,23,24.3,18.0
2013,8,24,19.5,9.7
2013,8,25,13.2,9.6
2013,8,26,19.5,10.6
2013,8,27,22.6,13.0
2013,8,28,22.4,9.8
2013,8,29,12.4,9.4
2013,8,30,18.9,12.4
2013,8,31,,
2013,9,1,18.0,5.1
2013,9,2,17.5,9.7
2013,9,3,13.8,10.0
2013,9,4,23.0,12.9
2013,9,5,21.2,15.0
2013,9,6,,
2013,9,7,19.5,6.8
2013,9,8,18.9,12.3
2013,9,9,17.0,9.6
2013,9,10,19.7,10.9
2013,9,11,16.9,11.2
2013,9,12,20.2,15.1
2013,9,13,25.0,16.2
2013,9,14,26.1,17.9
2013,9,15,23.3,13.3
2013,9,16,20.0,11.3
2013,9,17,17.6,3.6
2013,9,18,17.1,4.3
2013,9,19,18.8,7.8
2013,9,20,11.9,3.3
2013,9,21,13.1,3.1
2013,9,22,21.7,11.1
2013,9,23,19.2,13.5
2013,9,24,18.8,13.5
2013,9,25,14.8,11.1
2013,9,26,13.0,9.7
2013,9,27,9.8,5.9
2013,9,28,17.0,5.5
2013,9,29,20.8,11.2
2013,9,30,24.7,11.5
2013,10,1,23.1,12.9
2013,10,2,23.1,12.4
2013,10,3,17.7,9.7
2013,10,4,11.9,6.6
2013,10,5,9.5,6.7
2013,10,6,8.2,3.8
2013,10,7,7.7,0.4
2013,10,8,15.3,1.3
2013,10,9,12.1,2.1
2013,10,10,13.9,2.0
2013,10,11,7.4,2.4
2013,10,12,6.1,-1.7
2013,10,13,7.4,1.0
2013,10,14,7.7,2.4
2013,10,15,10.1,3.7
